کمي,scarcity
پيشکاري,agency
کارگزاري,agency
دفترنميندگي,agency
وکالت,power of attorney
نميندگي,agency
بنگاه,institution
آژانس,agency
برنامه عمليات,agenda
دستور کار,agendum
فاعل,subject
کار گذار,correspondent
پيشکار,agent
مامور,official
نمينده,agent
سازه,factor
بي فاعل,subjectless
عمال,stooges
عوامل,factors
سنين,ages
جوش آتشفشاني,agglomerate
عمل چسباندن,agglutination
خاکريزي کردن,aggrade
مزيد بر علت شدن,aggravate the situation
مشدد,stressed
تشديد,stress
جمع شده,knotted
متراکم ساختن,pile up
تجاوز,violation
دست درازي,violence
تعرض,objection
درازدستي,aggression
دراز دستي,aggression
دراز دست,long-armed
پرپشتکار,aggressive
تعرضي,aggressive
پرخاشگر,aggressive
پرتکاپو,energetic
تجاوز کارانه,aggressive
تجاوزي,offensive
درازدست,long-armed
متجاوز,invader
تجاوزکار,violator
مهاجم,invader
آغاجري,Aghajari
آقانور,Aghanur
آقازاده,Aghazadeh
اقدس,Aghdas
عقيل,Aghil
اقصي,farther
سريعالانتقال,agile
سبکبالي,disburdenment
کهنهشدنشراب,aging
سالخوردگي,aging
سفته بازي,agiotage
بر آشفتن,disturb
سرآسيمه کردن,agitate
آشفته کردن,upset
مشوش کردن,disturb
آشفته,disturbed
متلاطم,stormy
مشوش,disturbed
خلجان,agitation
آشفتگي,disturbance
تلاطم,turbulence
آشوبگر,revolutionary
کويچ,aglet
متلالا,aglitter
درتابش,aglitter
قبل,before
پيش,to
دچار اضطراب,agonist
مستعد جنگ,agonistic
مشار,indicated
کوشش آميز,agonistic
رنجآور,agonizing
سوزناک,painful
جان کندن,moil
سکرات مرگ,agony
رنج,suffering
نزع,agony of death
احتضار,agony of death
همري بودن,agree
مماشت کردن,agree
سازش کردن,assimilate
توافق داشتن,agree
هم عقيده شدن,agree
توافق کردن,agree
موافقت کردن,agree
موافق بودن,agree
پسندآمدن,agree
وفق پيدا کردن,agree with
دلجو,agreeable
سازگار,suitable
متوافق,agreeable
همزبان,speaking the same language
توافق,concent
تطابق,conformity
همدلي,unanimity
همخواني,agreement
معاهده,treaty
سازگاري,suitability
قرار,agreement
سازش,agreement
مطابقت,conformity
پيمان,Peyman
مقاوله,conference
قرارداد,agreement
موافقت,approval
ميثاق,promise
مماشت,agreement
توافقنامه,agreement
موافقت نامه,contract
پرخاشگري,agression
کشاورزي,agriculture
زراعي,agricultural
زراعتي,agricultural
فلاحت,agriculture
برز,agriculture
کشت و زرع,farming
زراعت,agriculture
برزگري,farming
وزير کشاورزي,Agriculture Minister
خاکشناس,agrologist
برزشناس,agronomist
برزشناسي,agronomy
بگل نشسته,aground
درزمين,aground
تب و لرز,fever and chill
مباحه,disputation
اف,damn
آه,ah
اوه,oh
آوخ,ah
عهديه,Ahdiyeh
روبجلو,ahead
جلو,in front of
احمدعلي,Ahmad Ali
احمدرضا,Ahmad Reza
احمد,Ahmed
احمد چلابي,Ahmed Chalabi
احمد شاه مسعود,Ahmed Shah Masood
احمدي نژاد,Ahmedinejad
هي هي,oh
اهريمن,devil
آهو,stag
هرمزد,Ahura Mazda
مددکار,assistant
معونت,help
اعانه,relief
دستگيري,help
مدد,help
يار,lover
معاون,assistant
معاظد,assistant
مدد کار,aid
عون,help
نصرت,victory
يدز,AIDS
ضعيفالبنيه,ailing
نقاهت,indisposition
مرام,intent
مقصد,goal
کام,mouth
نشانگاه,target
مقصود,purpose
نشان,sign
نشانه گرفتن,aim
هدف گيري کردن,aim
نصبالعين,motto
قراول رفتن,aim
هدف گيري,sighting
نشانه روي,sighting
بدون هدف,aimless
بي مقصد,aimless
بي هدف,aimless
بي مرام,unprincipled
بي هدفي,aimlessness
هوا,weather
باد دادن,air
هوا خوردن,breathe
هوا دادن,air
پيگاه هوائي,air base
مثانه هوا,air bladder
کولر,cooler
تهويه مطبوع,air conditioning
تحريم هويي,air embargo
نيروي هويي,air force
خفگي هوا,air heaviness
پست هويي,air mail
آئرو پرو,Air Peru
هفره هوائي,air pocket
آلودگي وها,air pollution
تلمبه,pump
هوابندي شده,air tight
هوابرد,airborne
طياره,airplane
هواپيميي,airlines
هواپيما بر,aircraft carrier
ناو هواپيمابر,aircraft carrier
ناو هوا پيما بر,aircraft carrier
هواپيماسازي,aircraft manufacture
آسمانه هواپيما,aircraft visibility
هواسان,airily
ارلين,airline
شرکت هويي,airline
هواپيميي کشوري,aviation
خطوط هويي,airlines
هواپيما,airplane
چاه هويي,airpocket
پروازگ,airport
فرودگاه,airport
هوا مانند,airy
با روح,high morale
راه رو,aisle
راهرو,corridor
زن هوانورد,aivatrix
اکبر,Akbar
اختر,star
اخضر ابراهيمي,Akhzar Ebrahimi
اکرم,Akram
اکرمالسادات,Akramossadat
البدرگ,Al Badr
ال گور,Al Gore
الحيات,Al Hayaat
الجززيره,Al Jazeera
الخفاجي,Al Khafaji
الخليل,Al Khalil
القاعده,Al Qaeda
العالم,Al-Alam
العراقي,Al-Araghi
الجماعت الاسلام,Al-Gamaat al Islamia
ارتش المهدي,Al-Mahdi Army
سپاه المهدي,Al-Mahdi Army
جنبش المهدي,Al-Mahdi movement
الصدر,Al-Sadr
آلاباما,Alabama
مرمرسفيد,white marble
علاءالدين,Aladdin
آلاله,Alaleh
اعلان خطر,warning
آژير,siren
شيپور حاضرباش,alarum
ساعت زنگي,striker
افسوس,remorse
وه,hey
ي بابا,alas
واحسرتا,alas
هيهات,alas
فغان,wailing
آلباني,Albany
آلبانييي,Albanian
ولوينکه,albeit
آلبرت کهل,Albert Kohl
آلبرت رابرتز,Albert Roberts
آلبرتين روبيتال,Albertin Robital
آلبرتو,Alberto
آلبريت,Albright
آلبوم,album
آلبومين,albumin
کيمياگر,alchemist
کيمياشناس,alchemist
کيمياگرانه,alchemistic
کيميا,Kimiya
کيمياگري,alchemy
داءالخمر,alchoholics
آهکي شدن,calcification
الکل,spirit
الکلي,alcoholic
باده پرستي,alcoholic
باده پرست,wino
باده گساري,vinosity
باده دوست,alcoholic
شرابخور,vinous
باده نوش,alcoholic
باده گسار,alcoholic
مشروب,liquor
مسکرات,alcoholic liquors
اعتياد به الکل,alcoholism
دبران,Aldebaran
توسه,alder
توسکا,alder
دخو,alderman
عرق کشي کردن,alembic
مراقب,observant
هشيار,intelligent
گوش بزنگ,alert
خبردار,alert
هوشيار کردن,alert
بهوش,conscious
بيداري,wakefulness
هشياري,intelligence
سکندر,Alexander
اسکندر,Alexander
لکساندر کورژاکف,Alexander Kurzhakov
اسکندريه,Alexandria
سکندري,Alexandrian
جلبکي,algal
خزهي,algal
جبر,predestination
جبر و مقابله,algebra
جبري,predestined
زبان جبري,algebraic language
الجزير,Algeria
الجزيري,Algerian
دردزا,algogenic
زبان الگول,algol
جلبک شناس,algologist
جلبک شناسي,algology
الگوريتم,algorithm
الگوريتمي,algorithmic
زبان الگوريتمي,algorithmic language
علي,Ali
عليعباس,Ali Abbas
علياکبر,Ali Akbar
علي اکبر هاشمي رفسنجاني,Ali Akbar Hashemi Rafsanjani
علياصغر,Ali Asghar
علياشرف,Ali Ashraf
عليبابا,Ali Baba
عليحسن,Ali Hasan
عليکرم,Ali Karam
عليمحمد,Ali Mohammad
عليپناه,Ali Panah
علي شمخاني,Ali Shamkhani
عاليه,Aliah
عليداد,Alidad
غريب,weird
ناسازگار بودن,discord
غريبه بودن,alien
اجنبي,foreigner
قابل فروش,vendible
گريزاندن,scare away
بيگانه سازي,alienation
بيگانه کردن,estrange
موجودات فضيي,aliens
شبيه بال,aliform
هم تراز کردن,align
هم رديف,aligned
هم تراز کننده,aligner
هم ترازي,justification
صف بندي,lining up
يکجور,alike
همرنگ,similar
همشکل,alike
بتساوي,alike
همسان,similar
مانندهم,alike
يکجوري,similarity
قوت ليموت,aliment
غذا دهنده,alimental
رزقي,alimentary
نفقه,alimony
خرجي,subsistence
عليمراد,Alimorad
متداخل,aliquot
عليرضا,Alireza
آليس,Alis
جاندار,living
زنده,fresh
ذوحيات,alive
حي,ready
شنگار,alkanet
شنجار,alkanet
جملگي,all
جميع,all
تماما,wholly
جمله,sentence
همه,everybody
تمام,finished
همگي,all
تمامي,all
کل,total
دورادور,all around
دورتادور,all around
تمام روز,all day long
مادام العمر,ever lasting
تمامي شب,all night long
باشدت تمام,all out
سرتاسر,totally
سرتاپا,totally
بطور سراسري,all over
سربسر,totally
سراسر,throughout
دارودسته,the whole gang
هرآنچه,whatever
جمعا,totally
تنگ بست,all-in-one
الله اکبر,Allah Akbar
اللهبخش,Allahbakhsh
اللهبهداشت,Allahbedasht
اللهيار,Allahyar
علاوي,Allawi
ادعا,claim
دليل آوردن,argue
منتسب به,said to be of
بنابگفته بعضي,alleged
مجازي,figurative
تمثيلي,allegorical
مثل گفتن,allegorize
تمثيل نوشتن,allegorize
کنيه,nickname
تمثيل,allegory
نشاط انگيز,allegro
دگرشکل,allelomorph
سبحان الله,alleluia
آلن,Allen
آلن کلارک,Allen Clark
آلن روم,Allen Rome
تسکين,soothing
تسکيني,alleviatory
کوچه,alley
خيابان کوچک,alley
سنبل الطيب,common valerian
هم پيماني,confederation
اتحاد,union
هم عهد,allied
متحده,united
مقرون,allied
متحد,united
مؤتلفه,allied
جبهه متحد,Allied Forces
متفقين,allies
تمساح,crocodile
اختصاص دادن,allocate
تخصيص دادن,set aside
اختصاص کردن,allocate
مختص,special
اختصاصي,private
اختصاص,allocation
تخصيص,allocation
واژگونه,allomorph
واج گونه,allomorph
اسم جعلي,allonym
سهم برده,allottee
جيز شمردن,allow
اذن دادن,allow
اجازه دادن,permit
اختيار دادن,authorize
گذاردن,put
راه دادن,allow
رخصت دادن,allow
روا داشتن,approve
جيز دانستن,allow
امان دادن,protect
جيز,allowable
مباحات,allowable acts
فوقالعاده,extra
مدد معاش,extrs pay
فوقالعاده دادن,allowance
آميغ,mixture
آلياژ,alloy
مسوار,copper alloy
تلميح کردن,allude
اشارهکردن,point
جادو کردن,glamorize
تطميع کردن,corrupt
تلميح,allusion
اشاره,sign
کنيهي,allusive
آبرفتي,alluvial
آبرفت,illuviation
ته نشين,sediment
هم پيمان,ally
هم سوگند,ally
متحدين,Ally
المحيطي,Almagest
مجسطي,almagest
سالنما,calendar
الماس,diamond
آلماتي,Almati
مامور خيرات,almoner
درخت بادام,almond
بادام,almond
مغز بادام,shelled almond
آلموند,Almond
زدو,almond gum
بادامي,oval
لوزي,lozenge
بطور نزديک,almost
کما بيش,almost
تقريبا,approximately
زکات,alms
بلا گردان,sacrifice
ذکات,zakaat
گدا خانه,town house
صدقه خور,eleemosynary
صدقه دهنده,almsman
چدروا,aloes
عود,returning
در فوق,aloft
در نوک,aloft
تک و تنها,alone
تکي,alone
بلاوارث,alone
يک تنه,single-handedly
انفرادا,alone
تنهيي,alone
يکنفره,alone
يکتنه,alone
يکه,unit
تنها,only
همپا,along
در طول,throughout
کناره گير,standoffish
موي آلپاکا,alpaca
پشم آلپاکا,alpaca
آلپاکا,alpaca
ستاره اول,alpha
الفبا,alphabet
هجائي,alphabetic
حروفي,alphabetical
به ترتيب الفبا,alphabetically
الفبائي,alphabetically
الفبا عددي,alphameric
الفماري,alphameric
آلپي,Alpine
صحيح است,okay
نيز,too
همچنين,too
مضافا بينککه,also
يضًا,also
مضافا,also
هم,too
محراب,altar
مجمره,altar
مذبح,altar
مبح,topic
مذابح,altars
دگرگون شدن,alter
پس و پيش کردن,change the order
دگرگون کردن,change
تبديلي,alterant
دگرش,alteration
گزينه دگرگوني,alteration switch
مجادله,fight
مخدوش,tampered with
تناوب داشتن,alternate
متناوب کردن,alternate
تناوب کردن,alternate
متناوب بودن,alternate
غبا,alternately
